__________________________________________________
idx: 1089-134686-0000
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
34	UN	UN	UN	null	0.82	0.0	0.71
35	D	D	D	DE	0.77	0.03	0.16
36	INGS▁	INGS▁	INGS▁	AN	0.97	0.09	0.32
37	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
38	BA	BA	BA	null	1.0	0.0	0.99
39	K	K	K	K	0.84	0.0	0.98
40	ER▁	IR	ER▁	IR	0.99	0.86	0.49
41	ER▁	RE	RE	RE	0.66	0.95	0.66
42	ST	ST	ST	null	0.64	0.0	0.86
43	RE	U	ERS▁	U	0.23	1.0	0.43
44	RE	P	D▁	P	0.43	1.0	0.33
45	ET▁	HAR	AGE▁	HAR	0.25	1.0	0.41
==================================================

__________________________________________________
idx: 1580-141083-0003
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	WITHOUT▁	WITHOUT▁	WITHOUT▁	null	0.86	0.0	0.99
1	HIS▁	HIS▁	HIS▁	null	1.0	0.0	0.99
2	SC	SC	SC	null	0.52	0.0	0.93
3	RA	RA	RA	RA	1.0	0.01	1.0
4	P	T	T	T	0.82	0.84	0.74
5	BO	HO	HO	RO	0.86	0.3	0.56
6	O	O	O	O	0.99	0.0	0.52
7	K	K	K	null	0.96	0.01	0.33
8	S▁	S▁	S▁	'	1.0	0.31	0.14
9	HIS▁	HIS▁	HIS▁	null	0.78	0.0	1.0
10	CH	CH	CH	null	1.0	0.0	0.64
11	EM	EM	EM	EM	0.94	0.0	1.0
12	I	OR	OR	OR	0.97	0.82	0.99
13	AL	DA	S▁	DA	0.9	1.0	0.52
14	S▁	W	W	W	0.75	1.0	0.49
15	AND▁	ILL	S▁	ILL	0.95	1.0	0.18
16	AND▁	U	'	U	0.82	0.87	0.79
17	HIS▁	L	L	L	0.57	0.0	0.83
18	HIS▁	IN	Y▁	IN	0.51	1.0	0.64
19	HO	HU	C	HU	0.28	1.0	0.24
20	ME	Z	TS▁	Z	0.18	1.0	0.51
21	LY▁	O	E▁	O	0.83	1.0	1.0
22	UN	CON	C	CON	0.42	1.0	0.43
23	TI	W	S	W	0.26	1.0	0.36
24	DI	'	S▁	'	0.82	1.0	0.33
25	NESS▁	S▁	S▁	null	1.0	0.0	1.0
26	HE▁	HE▁	HE▁	null	0.94	0.0	1.0
27	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
28	AN▁	AN▁	AN▁	null	1.0	0.0	1.0
29	UN	UN	UN	null	0.86	0.0	1.0
30	COM	COM	COM	null	0.96	0.0	0.94
31	FOR	FOR	FOR	null	0.51	0.0	0.95
32	T	T	T	FE	0.97	0.1	0.62
33	ABLE▁	ABLE▁	ABLE▁	UNDER▁	0.98	0.0	0.24
34	MAN▁	MAN▁	MAN▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0004
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	0.95	0.0	1.0
1	HAD▁	HAD▁	HAD▁	null	0.91	0.0	1.0
2	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
3	READ▁	READ▁	READ▁	null	0.53	0.0	1.0
4	IT▁	IT▁	IT▁	null	0.94	0.0	0.97
5	OVER▁	OVER▁	OVER▁	null	1.0	0.0	0.99
6	CA	CA	CA	null	1.0	0.0	1.0
7	RE	RE	RE	null	0.98	0.0	1.0
8	FULLY▁	FULLY▁	FULLY▁	null	0.86	0.0	0.45
9	AS▁	AS▁	AS▁	null	1.0	0.0	1.0
10	THE▁	THE▁	THE▁	null	0.56	0.0	1.0
11	T	T	T	null	1.0	0.0	0.98
12	EX	EX	EX	EX	0.89	0.0	0.87
13	T▁	T▁	T▁	null	0.95	0.0	1.0
14	MUST▁	MUST▁	MUST▁	null	1.0	0.0	1.0
15	BE▁	BE▁	BE▁	null	0.99	0.0	0.99
16	AB	AB	AB	null	0.77	0.0	1.0
17	SOL	SOL	SOL	null	1.0	0.0	1.0
18	U	U	U	null	0.51	0.0	1.0
19	TE	TE	TE	null	1.0	0.0	0.49
20	LY▁	LY▁	LY▁	C	0.98	0.0	0.72
21	COR	COR	COR	null	1.0	0.0	0.99
22	RE	RE	RE	null	0.8	0.0	0.54
23	C	C	C	C	1.0	0.0	0.63
24	T▁	T▁	T▁	AP	0.99	0.0	0.44
==================================================

__________________________________________________
idx: 1580-141083-0005
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	0.84	0.0	0.99
1	WAS▁	WAS▁	WAS▁	null	0.7	0.0	1.0
2	AB	AB	AB	null	1.0	0.0	1.0
3	SENT▁	SENT▁	SENT▁	null	1.0	0.0	1.0
4	RATHER▁	RATHER▁	RATHER▁	null	0.62	0.0	1.0
5	MORE▁	MORE▁	MORE▁	null	0.98	0.0	0.98
6	THAN▁	THAN▁	THAN▁	null	1.0	0.0	1.0
7	AN▁	AN▁	AN▁	null	1.0	0.0	1.0
8	H	H	H	null	1.0	0.0	1.0
9	OUR▁	OUR▁	OUR▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0006
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
1	ONLY▁	ONLY▁	ONLY▁	null	1.0	0.0	1.0
2	DU	DU	DU	null	0.99	0.0	0.99
3	P	P	P	P	1.0	0.74	1.0
4	LI	H	H	H	0.87	0.32	0.2
5	ATE▁	AD	AD	AD	0.97	1.0	0.43
6	WHICH▁	S▁	S▁	null	0.61	0.17	0.63
7	EX	EX	EX	null	1.0	0.0	1.0
8	IS	IS	IS	null	1.0	0.0	1.0
9	TED▁	TED▁	TED▁	null	1.0	0.0	1.0
10	SO▁	SO▁	SO▁	null	1.0	0.0	1.0
11	FAR▁	FAR▁	FAR▁	null	1.0	0.0	1.0
12	AS▁	AS▁	AS▁	null	0.89	0.0	1.0
13	I▁	I▁	I▁	null	0.98	0.0	1.0
14	KNEW▁	KNEW▁	KNEW▁	null	1.0	0.0	1.0
15	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
16	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
17	WHICH▁	WHICH▁	WHICH▁	null	0.93	0.0	1.0
18	BE	BE	BE	null	1.0	0.0	1.0
19	LONG	LONG	LONG	null	1.0	0.0	0.99
20	ED▁	ED▁	ED▁	null	0.97	0.0	1.0
21	TO▁	TO▁	TO▁	null	1.0	0.0	0.96
22	MY▁	MY▁	MY▁	null	1.0	0.0	1.0
23	SE	SE	SE	null	0.96	0.0	0.98
24	R	R	R	null	1.0	0.0	0.98
25	V	V	V	null	1.0	0.0	0.99
26	ANT▁	ANT▁	ANT▁	null	0.85	0.0	0.94
27	B	B	B	null	0.86	0.0	1.0
28	AN	AN	AN	AN	0.95	0.0	0.89
29	IS	IS	IS	A	0.91	0.26	0.51
30	TER▁	TER▁	TER▁	null	1.0	0.0	1.0
31	A▁	A▁	A▁	null	1.0	0.0	1.0
32	MAN▁	MAN▁	MAN▁	null	1.0	0.0	1.0
33	WHO▁	WHO▁	WHO▁	null	1.0	0.0	1.0
34	HAS▁	IS▁	IS▁	null	0.66	0.0	1.0
35	LOOKED▁	LOOKED▁	LOOKED▁	null	0.98	0.0	1.0
36	AFTER▁	AFTER▁	AFTER▁	null	1.0	0.0	1.0
37	MY▁	MY▁	MY▁	null	0.64	0.0	1.0
38	ROOM▁	ROOM▁	ROOM▁	null	1.0	0.0	1.0
39	FOR▁	FOR▁	FOR▁	null	1.0	0.0	1.0
40	T	T	T	null	1.0	0.0	1.0
41	EN▁	EN▁	EN▁	null	1.0	0.0	1.0
42	YEARS▁	YEARS▁	YEARS▁	null	1.0	0.0	1.0
43	AND▁	AND▁	AND▁	null	0.54	0.0	1.0
44	WHOSE▁	WHOSE▁	WHOSE▁	null	1.0	0.0	1.0
45	HO	HO	HO	null	0.99	0.0	0.98
46	NE	NE	NE	NE	1.0	0.0	0.98
47	S	S	S	null	0.84	0.2	0.32
48	TY▁	TY▁	TY▁	CON	0.55	0.08	0.11
49	IS▁	IS▁	IS▁	null	0.8	0.0	1.0
50	AB	AB	AB	null	1.0	0.0	1.0
51	SOL	SOL	SOL	null	1.0	0.0	1.0
52	U	U	U	null	0.8	0.0	1.0
53	TE	TE	TE	null	1.0	0.0	0.86
54	LY▁	LY▁	LY▁	T	0.97	0.0	0.92
55	ABOVE▁	ABOVE▁	ABOVE▁	null	1.0	0.0	1.0
56	SU	SU	SU	null	1.0	0.0	0.99
57	S	S	S	null	1.0	0.0	1.0
58	PI	PI	PI	null	1.0	0.0	0.98
59	C	C	C	null	1.0	0.0	0.93
60	ION▁	ION▁	ION▁	null	1.0	0.0	0.36
==================================================

__________________________________________________
idx: 1580-141083-0007
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.93	0.0	1.0
1	MOMENT▁	MOMENT▁	MOMENT▁	null	1.0	0.0	1.0
2	I▁	I▁	I▁	null	1.0	0.0	1.0
3	LOOKED▁	LOOKED▁	LOOKED▁	null	0.99	0.0	1.0
4	AT▁	AT▁	AT▁	null	1.0	0.0	1.0
5	MY▁	MY▁	MY▁	null	0.52	0.0	1.0
6	T	T	T	null	1.0	0.0	1.0
7	ABLE▁	ABLE▁	ABLE▁	null	1.0	0.0	1.0
8	I▁	I▁	I▁	null	1.0	0.0	1.0
9	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
10	A	A	A	null	1.0	0.0	1.0
11	W	W	W	null	1.0	0.0	0.98
12	ARE▁	ARE▁	ARE▁	null	1.0	0.0	1.0
13	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
14	SO	SO	SO	null	0.82	0.0	1.0
15	ME	ME	ME	null	1.0	0.01	1.0
16	ONE▁	ONE▁	ONE▁	null	0.84	0.0	0.95
17	HAD▁	HAD▁	HAD▁	null	1.0	0.0	0.99
18	R	R	R	null	1.0	0.0	0.97
19	U	U	U	U	0.85	0.0	0.86
20	M	M	M	M	0.85	0.01	0.96
21	MA	'	B	'	0.41	0.82	0.55
22	ED▁	D▁	D▁	null	0.78	0.0	1.0
23	AMONG▁	AMONG▁	AMONG▁	null	0.97	0.0	1.0
24	MY▁	MY▁	MY▁	null	1.0	0.0	1.0
25	PA	PA	PA	null	0.97	0.0	1.0
26	PER	PER	PER	null	0.97	0.0	0.99
27	S▁	S▁	S▁	null	0.98	0.0	0.98
==================================================

__________________________________________________
idx: 1580-141083-0008
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.98	0.0	0.99
1	PRO	PRO	PRO	null	1.0	0.0	0.97
2	OF▁	OF▁	OF▁	null	0.99	0.0	1.0
3	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
4	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
5	THREE▁	THREE▁	THREE▁	null	1.0	0.0	1.0
6	LONG▁	LONG▁	LONG▁	null	1.0	0.0	1.0
7	S	S	S	null	0.97	0.0	0.99
8	LI	LI	LI	LI	1.0	0.0	0.86
9	P	P	P	null	1.0	0.0	0.92
10	S▁	S▁	S▁	null	0.98	0.01	0.5
11	I▁	I▁	I▁	null	0.95	0.0	1.0
12	HAD▁	HAD▁	HAD▁	null	0.98	0.0	1.0
13	LEFT▁	LEFT▁	LEFT▁	null	1.0	0.0	1.0
14	THEM▁	THEM▁	THEM▁	null	1.0	0.0	1.0
15	ALL▁	ALL▁	ALL▁	null	0.99	0.0	1.0
16	TOGETHER▁	TOGETHER▁	TOGETHER▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0009
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	THE▁	THE▁	THE▁	null	0.99	0.0	0.98
1	AL	AL	AL	null	1.0	0.0	0.97
2	TER	TER	TER	TER	0.78	0.0	0.5
3	NA	E	<blank>	E	0.44	0.69	0.9
4	VE▁	V	V	V	0.74	1.0	0.45
5	WAS▁	WAS▁	WAS▁	null	0.72	0.52	0.81
6	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
7	SO	SOME▁	SOME▁	null	0.57	0.0	1.0
8	ONE▁	ONE▁	ONE▁	null	0.99	0.0	1.0
9	PASS	PASS	PASS	null	1.0	0.0	1.0
10	ING▁	ING▁	ING▁	null	0.97	0.0	1.0
11	HAD▁	HAD▁	HAD▁	null	1.0	0.0	1.0
12	O	O	O	null	0.99	0.0	0.99
13	B	B	B	null	0.98	0.0	0.95
14	SE	SE	SE	null	0.96	0.0	1.0
15	R	R	R	null	0.66	0.0	0.99
16	V	V	V	null	1.0	0.0	0.98
17	ED▁	ED▁	ED▁	null	1.0	0.0	0.81
18	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
19	KE	KE	KE	null	1.0	0.0	1.0
20	Y▁	Y▁	Y▁	null	0.92	0.0	1.0
21	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
22	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
23	DOOR▁	DOOR▁	DOOR▁	null	0.97	0.0	1.0
24	HAD▁	HAD▁	HAD▁	null	0.97	0.0	1.0
25	KNOWN▁	KNOWN▁	KNOWN▁	null	1.0	0.0	1.0
26	THAT▁	THAT▁	THAT▁	null	0.96	0.0	0.99
27	I▁	I▁	I▁	null	1.0	0.0	1.0
28	WAS▁	WAS▁	WAS▁	null	0.97	0.0	1.0
29	OUT▁	OUT▁	OUT▁	null	1.0	0.0	1.0
30	AND▁	AND▁	AND▁	null	1.0	0.0	1.0
31	HAD▁	HAD▁	HAD▁	null	0.84	0.0	1.0
32	EN	EN	EN	null	1.0	0.0	1.0
33	TER	TER	TER	null	1.0	0.0	1.0
34	ED▁	ED▁	ED▁	null	0.72	0.0	1.0
35	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
36	LOOK▁	LOOK▁	LOOK▁	null	1.0	0.0	1.0
37	AT▁	AT▁	AT▁	null	1.0	0.0	0.99
38	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
39	PA	PA	PA	null	0.99	0.0	1.0
40	PER	PER	PER	null	0.63	0.0	0.99
41	S▁	S▁	S▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0010
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	0.91	0.0	1.0
1	GA	GA	GA	null	1.0	0.0	1.0
2	VE▁	VE▁	VE▁	null	1.0	0.0	1.0
3	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
4	A▁	A▁	A▁	null	0.96	0.0	1.0
5	LITTLE▁	LITTLE▁	LITTLE▁	null	1.0	0.0	1.0
6	B	B	B	null	1.0	0.0	0.87
7	R	R	R	R	1.0	0.0	0.7
8	AND	AND	AND	AN	0.96	0.0	0.5
9	Y▁	Y▁	Y▁	null	0.97	0.0	0.75
10	AND▁	AND▁	AND▁	null	0.67	0.0	1.0
11	LEFT▁	LEFT▁	LEFT▁	null	0.99	0.0	1.0
12	HIM▁	HIM▁	HIM▁	null	1.0	0.0	1.0
13	CO	CO	CO	null	1.0	0.0	1.0
14	LL	LL	LL	LL	1.0	0.01	1.0
15	AP	AP	AP	null	0.76	0.0	1.0
16	S	I	P	I	0.56	1.0	0.43
17	ED▁	V	V	V	0.84	1.0	0.5
18	ED▁	ED▁	ED▁	O	0.75	0.59	0.52
19	IN▁	IN▁	IN▁	null	1.0	0.0	0.98
20	A▁	A▁	A▁	null	1.0	0.0	0.99
21	CH	CH	CH	null	1.0	0.0	0.99
22	AIR▁	AIR▁	AIR▁	null	1.0	0.0	0.98
23	WHILE▁	WHILE▁	WHILE▁	null	0.98	0.0	1.0
24	I▁	I▁	I▁	null	0.95	0.0	1.0
25	MADE▁	MADE▁	MADE▁	null	1.0	0.0	1.0
26	A▁	A▁	A▁	null	1.0	0.0	1.0
27	MOST▁	MOST▁	MOST▁	null	0.98	0.0	1.0
28	CA	CA	CA	null	1.0	0.0	1.0
29	RE	RE	RE	null	1.0	0.0	1.0
30	FUL▁	FUL▁	FUL▁	null	1.0	0.0	0.84
31	EX	EX	EX	null	1.0	0.0	1.0
32	AM	AM	AM	null	0.99	0.0	1.0
33	IN	IN	IN	IN	1.0	0.0	0.71
34	ATION▁	ATION▁	ATION▁	null	1.0	0.0	0.87
35	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
36	THE▁	THE▁	THE▁	null	0.91	0.0	1.0
37	ROOM▁	ROOM▁	ROOM▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0011
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	A▁	A▁	A▁	null	1.0	0.0	0.99
1	B	B	B	null	1.0	0.0	0.99
2	RO	RO	RO	null	1.0	0.0	0.98
3	K	K	K	null	0.92	0.0	1.0
4	EN▁	EN▁	EN▁	null	0.61	0.0	0.95
5	TI	TI	TI	null	1.0	0.0	1.0
6	P▁	P▁	P▁	null	1.0	0.0	1.0
7	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
8	LEA	LEA	LEA	null	0.95	0.0	1.0
9	D▁	D▁	D▁	null	0.99	0.0	1.0
10	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
11	L	L	L	null	0.99	0.0	1.0
12	YING▁	YING▁	YING▁	null	1.0	0.0	1.0
13	THERE▁	THERE▁	THERE▁	null	1.0	0.0	0.99
14	AL	AL	AL	null	1.0	0.0	0.97
15	SO▁	SO▁	SO▁	null	0.94	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0012
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	NOT▁	NOT▁	NOT▁	null	0.99	0.0	0.99
1	ONLY▁	ONLY▁	ONLY▁	null	0.92	0.0	1.0
2	THIS▁	THIS▁	THIS▁	null	0.95	0.0	1.0
3	BUT▁	BUT▁	BUT▁	null	0.95	0.0	1.0
4	ON▁	ON▁	ON▁	null	1.0	0.0	1.0
5	THE▁	THE▁	THE▁	null	0.97	0.0	1.0
6	T	T	T	null	0.99	0.0	1.0
7	ABLE▁	ABLE▁	ABLE▁	null	0.88	0.0	1.0
8	I▁	I▁	I▁	null	0.99	0.0	1.0
9	FOUND▁	FOUND▁	FOUND▁	null	1.0	0.0	1.0
10	A▁	A▁	A▁	null	1.0	0.0	1.0
11	SMALL▁	SMALL▁	SMALL▁	null	1.0	0.0	1.0
12	B	B	B	null	0.99	0.0	0.97
13	ALL▁	ALL▁	ALL▁	null	1.0	0.0	1.0
14	OF▁	OF▁	OF▁	null	0.87	0.0	0.9
15	BLACK▁	BLACK▁	BLACK▁	null	1.0	0.0	1.0
16	DO	DU	DU	null	0.3	0.0	1.0
17	H▁	H▁	H▁	H▁	0.59	0.01	0.89
18	OR▁	OR▁	OR▁	null	0.96	0.0	0.98
19	C	C	C	null	1.0	0.0	1.0
20	LA	LA	LA	null	0.89	0.0	0.92
21	Y▁	Y▁	Y▁	null	0.98	0.0	1.0
22	WITH▁	WITH▁	WITH▁	null	0.67	0.0	0.99
23	SPEC	SPEC	SPEC	null	0.99	0.0	1.0
24	K	K	K	K	0.84	0.0	0.78
25	S▁	S▁	S▁	I	0.93	0.19	0.23
26	OF▁	OF▁	OF▁	null	1.0	0.0	0.92
27	SOMETHING▁	SOMETHING▁	SOMETHING▁	null	1.0	0.0	1.0
28	WHICH▁	WHICH▁	WHICH▁	null	1.0	0.0	1.0
29	LO	LO	LO	null	0.74	0.0	0.99
30	O	O	O	null	1.0	0.0	0.97
31	K	K	K	K	1.0	0.0	0.41
32	S▁	S▁	S▁	I	1.0	0.01	0.13
33	LIKE▁	LIKE▁	LIKE▁	null	1.0	0.0	1.0
34	SA	SO	SO	null	0.5	0.0	0.98
35	DU	U	B	U	0.36	0.81	0.47
36	ST▁	R	TH▁	R	1.0	0.99	0.35
37	IN▁	ILL	TH▁	ILL	0.29	1.0	0.48
38	IT▁	O	O	O	0.63	0.77	0.97
39	IT▁	UG	UG	UG	0.88	1.0	0.51
==================================================

__________________________________________________
idx: 1580-141083-0013
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	ABOVE▁	ABOVE▁	ABOVE▁	null	1.0	0.0	0.99
1	ALL▁	ALL▁	ALL▁	null	0.87	0.0	0.99
2	THINGS▁	THINGS▁	THINGS▁	null	0.99	0.0	1.0
3	I▁	I▁	I▁	null	1.0	0.0	1.0
4	DE	DE	DE	null	1.0	0.0	1.0
5	SI	SI	SI	null	1.0	0.0	1.0
6	RE▁	RE▁	RE▁	null	1.0	0.0	0.99
7	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
8	SE	SE	SE	null	1.0	0.0	0.99
9	T	T	T	T	1.0	0.0	0.45
10	T	T	T	null	0.96	0.0	0.92
11	LE▁	LE▁	LE▁	null	1.0	0.01	0.5
12	THE▁	THE▁	THE▁	null	0.97	0.0	0.99
13	MATTER▁	MATTER▁	MATTER▁	null	1.0	0.0	1.0
14	QU	QU	QU	null	1.0	0.0	1.0
15	I	I	I	null	1.0	0.0	0.78
16	E	E	E	null	0.99	0.0	0.96
17	T	T	T	null	0.99	0.0	0.28
18	LY▁	LY▁	LY▁	AR	0.94	0.0	0.22
19	AND▁	AND▁	AND▁	null	0.81	0.0	1.0
20	DIS	DIS	DIS	null	0.88	0.0	0.99
21	C	C	C	C	0.92	0.0	0.96
22	RE	RE	RE	RE	1.0	0.02	0.87
23	E	E	E	PE	0.81	0.2	0.82
24	T	T	T	T	1.0	0.51	0.61
25	LY▁	SU	LY▁	SU	1.0	0.87	0.18
26	LY▁	PER	P	PER	0.56	0.99	0.41
27	LY▁	L	<blank>	L	0.17	1.0	0.24
28	LY▁	IN	INE▁	IN	0.35	1.0	0.39
29	LY▁	EX	<blank>	EX	0.28	1.0	0.41
==================================================

__________________________________________________
idx: 1580-141083-0014
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	TO▁	TO▁	TO▁	null	1.0	0.0	0.99
1	THE▁	THE▁	THE▁	null	0.99	0.0	1.0
2	B	B	B	null	1.0	0.0	1.0
3	EST▁	EST▁	EST▁	null	1.0	0.0	1.0
4	OF▁	OF▁	OF▁	null	1.0	0.0	1.0
5	MY▁	MY▁	MY▁	null	1.0	0.0	1.0
6	BE	BE	BE	null	1.0	0.0	1.0
7	LI	LI	LI	null	0.98	0.0	1.0
8	E	E	E	null	0.99	0.0	0.91
9	F▁	F▁	F▁	null	1.0	0.0	0.79
10	THEY▁	THEY▁	THEY▁	null	0.99	0.0	1.0
11	WERE▁	WERE▁	WERE▁	null	0.99	0.0	1.0
12	RO	RO	RO	null	0.58	0.0	1.0
13	LL	LL	LL	null	0.96	0.0	0.99
14	ED▁	ED▁	ED▁	null	0.98	0.0	1.0
15	UP▁	UP▁	UP▁	null	0.67	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0015
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	DID▁	DID▁	DID▁	null	1.0	0.0	1.0
1	AN	ANY▁	ANY▁	null	0.78	0.0	1.0
2	ONE▁	ONE▁	ONE▁	null	1.0	0.0	1.0
3	KNOW▁	KNOW▁	KNOW▁	null	0.69	0.0	1.0
4	THAT▁	THAT▁	THAT▁	null	1.0	0.0	1.0
5	THESE▁	THESE▁	THESE▁	null	1.0	0.0	1.0
6	PRO	PRO	PRO	null	1.0	0.0	0.78
7	O	O	O	O	1.0	0.0	1.0
8	F	O	O	O	0.86	0.0	0.98
9	S▁	F	F	O	0.52	0.05	0.59
10	S▁	U	S▁	U	0.6	1.0	0.2
11	WOULD▁	WOULD▁	WOULD▁	T	0.5	0.04	0.28
12	BE▁	BE▁	BE▁	null	1.0	0.0	0.98
13	THERE▁	THERE▁	THERE▁	null	1.0	0.0	1.0
14	NO▁	NO▁	NO▁	null	0.7	0.0	1.0
15	ONE▁	ONE▁	ONE▁	null	1.0	0.0	1.0
16	SA	SA	SA	null	0.76	0.0	1.0
17	VE▁	VE▁	VE▁	null	0.65	0.0	1.0
18	THE▁	THE▁	THE▁	null	1.0	0.0	1.0
19	P	P	P	null	1.0	0.0	0.96
20	R	R	R	R	1.0	0.0	0.49
21	IN	IN	IN	IN	1.0	0.0	0.89
22	TER▁	T	T	T	0.91	0.01	0.73
23	TER▁	OR▁	OR▁	OR▁	0.99	0.11	0.83
==================================================

__________________________________________________
idx: 1580-141083-0016
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	I▁	I▁	I▁	null	1.0	0.0	0.99
1	WAS▁	WAS▁	WAS▁	null	1.0	0.0	1.0
2	IN▁	IN▁	IN▁	null	1.0	0.0	1.0
3	SUCH▁	SUCH▁	SUCH▁	null	1.0	0.0	1.0
4	A▁	A▁	A▁	null	1.0	0.0	1.0
5	HU	HU	HU	null	0.78	0.0	1.0
6	R	R	R	null	1.0	0.0	0.98
7	RY▁	RY▁	RY▁	null	1.0	0.0	0.99
8	TO▁	TO▁	TO▁	null	0.99	0.0	0.99
9	COME▁	COME▁	COME▁	null	1.0	0.0	1.0
10	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
11	YOU▁	YOU▁	YOU▁	null	0.52	0.0	1.0
12	YOU▁	YOU▁	YOU▁	null	1.0	0.0	1.0
13	LEFT▁	LEFT▁	LEFT▁	null	1.0	0.0	1.0
14	YOUR▁	YOUR▁	YOUR▁	null	0.99	0.0	1.0
15	DOOR▁	DOOR▁	DOOR▁	null	0.88	0.0	1.0
16	OPEN▁	OPEN▁	OPEN▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0017
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	SO▁	SO▁	SO▁	null	0.98	0.0	1.0
1	IT▁	IT▁	IT▁	null	1.0	0.0	1.0
2	SE	SE	SE	null	1.0	0.0	1.0
3	EM	EM	EM	null	1.0	0.0	1.0
4	S▁	S▁	S▁	null	1.0	0.0	1.0
5	TO▁	TO▁	TO▁	null	1.0	0.0	1.0
6	ME▁	ME▁	ME▁	null	1.0	0.0	1.0
==================================================

__________________________________________________
idx: 1580-141083-0018
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	NOW▁	NOW▁	NOW▁	null	1.0	0.0	0.98
1	MISTER▁	MISTER▁	MISTER▁	null	0.98	0.0	1.0
2	SO	S	S	null	0.44	0.0	0.99
3	AM	EL	EL	null	0.6	0.0	0.74
4	ES▁	S▁	S▁	S▁	0.91	0.13	0.97
5	AT▁	AT▁	AT▁	null	1.0	0.0	1.0
6	YOUR▁	YOUR▁	YOUR▁	null	1.0	0.0	1.0
7	DIS	DIS	DIS	null	0.77	0.0	0.99
8	PO	PO	PO	PO	0.99	0.0	0.58
9	S	S	S	null	0.98	0.0	0.73
10	AL▁	AL▁	AL▁	null	0.89	0.0	0.29
==================================================

__________________________________________________
idx: 1580-141083-0019
index	ref	hyp	asr	tcpgen	conf	pgen	pconf
__________________________________________________
0	ABOVE▁	ABOVE▁	ABOVE▁	null	0.99	0.0	1.0
1	WERE▁	WERE▁	WERE▁	null	0.98	0.0	0.99
2	THREE▁	THREE▁	THREE▁	null	1.0	0.0	1.0
3	ST	ST	ST	null	1.0	0.0	0.97
4	U	U	U	U	0.95	0.0	0.77
5	DENT	DENT	DENT	null	1.0	0.0	0.98
6	S▁	S▁	S▁	null	0.97	0.0	1.0
7	ONE▁	ONE▁	ONE▁	null	1.0	0.0	1.0
8	ON▁	ON▁	ON▁	null	0.97	0.0	1.0
